CONTRACT_ADDRESS,APP_NAME,VERTICAL
0x93b67b8ba9d95dfec993a64fb6efda9c81cbff1a9b8037d853a70606a2f8192d,Aftermath Finance,DeFi
0x93b70b8e21d77f695507558839715d900d05e0ee54acf25d176a179112001d7a,Suilend,DeFi
0x93c56e7b0416283e0934c8b1dcc1436bfb7c7da8bbc3f2de82a9887a9c0bdeff,Aftermath Finance,DeFi
0x93c5b75322b5f9fc194e16d869b30a1db8d1f1826b2371c776c21c3d6a375b10,SUITABLE,Memecoin
0x93ebee2837c208631bd49eb0ee16af9381ae3175589302a5183175540b9e4cc3,STEAMM,DeFi
0x9414ec1700b5c391122cab0bb11781394098ec64403b6aa8b2e64bbef7e9e37b,Sui Punks,NFT
0x941857ddef374553a70b9ee1e9bc42b4ef2675f0991ba8963410a10f29487e6a,Aftermath Finance,DeFi
0x941d7bfb56d052d014659847f0c49b980e1d90242544aee9a88e5aec1a8e1ae1,STEAMM,DeFi
0x941f5ee6d336545a2ae00ef763725ce826168bbc914d00ba95a87af076af0b7a,BlueMove DEX,NFT Apps
0x943535499ac300765aa930072470e0b515cfd7eebcaa5c43762665eaad9cc6f2,FlowX Finance,DeFi
0x94369b950baf96ad8fe2722e866fda5a3d6a15a9cfd2384a63de74d1e685fef0,Typus Finance,DeFi
0x9437e9dca1d636007c463b3451e5415b5c10317bc51326e8cbd1dff377a2e35e,FlowX Finance,DeFi
0x94395cb33657aff9d8e0b278db498acaab50bad2160d28d4fad1be21687c3357,Scallop,DeFi
0x944858cbd8f53350e7f9e481d4cdec332c9c1218ce4834fdac6f5555c1c729a9,RaidenX,DeFi
0x944edf6984885433c699b7ce35b0e14da85bc6fd6696fb6dbb03ca7260b5eff2,Nemo Protocol,DeFi
0x946d188d91cabd4fe15ef763e463a6738db1965814d3fd790085b4720cf90e28,Typus Finance,DeFi
0x94707e3f958ba37daf6853d604ba7679bfb291a29753206abf7c0d4d3ec1b300,DoubleUp,Gambling
0x948a25f00908007d43923c46d56800e498c79feda90e51b71a10474a55f66d88,Pawtato Finance,DeFi
0x948b0ee11f52e78b42a08380bed1162e9185095e147d0f93ab7e0ffe9666a408,XOCIETY,Gaming
0x94a7ac247793763ec32e220f28ed1b7413c655e32b088fdf17f1fe5972cd30e2,Haedal,DeFi
0x94bc82f5fe9531dd42e18f3cac17c303e43492a3dca8d5d24ab108c0cbcf6579,Wave Wallet,GameFi
0x94caa85ea7cb9e6f2b6b57e2c96c83fab296f7082e47eb7dacbae224aa9a53b8,FlowX Finance,DeFi
0x94e7a8e71830d2b34b3edaa195dc24c45d142584f06fa257b73af753d766e690,Celer Network,Bridge
0x9509de5f4fa195d0323905829a07156e823375f3e086bf31d0edc99e19a603a0,DoubleUp,Gambling
0x951a01360d85b06722edf896852bf8005b81cdb26375235c935138987f629502,7K Aggregator,DeFi
0x951d48bece7f6c2a3f4ba0b5791ba823c491e504feb4136497ee51331208ac33,Magma Finance,DeFi
0x954b21497d350ad9d06a16dba1b5d7b95a15e56733d43da256ba5f2a5ea254b0,Allbridge,Bridge
0x957c12847138eca8ce5c7239754087f8cc29901a2692f79ede4959b488783008,Wave Wallet,GameFi
0x95a441d389b07437d00dd07e0b6f05f513d7659b13fd7c5d3923c7d9d847199b,OriginByte,NFT
0x95b8d278b876cae22206131fb9724f701c9444515813042f54f0a426c9a3bc2f,Cetus,DeFi
0x95c0c8cb0a5aa90418e78b9c9f00c414e3db50fab35ace53b8df6b136562520d,Wave Wallet,GameFi
0x95cdc588a9a931fd850cca15313664b2c21a5b1ed494414f2181f0e542fdbcca,Aftermath Finance,DeFi
0x95d4317e198671998256edd81f42500f90ab8729fabdab83610ea8753a2d47c4,Capybara on Sui,Gaming
0x961465e883920bf201f24c3b6b24c6ab5752795609fa4a66be563be8658aac44,AlphaFi,DeFi
0x9632f61a796fc54952d9151d80b319e066cba5498a27b495c99e113db09726b1,Turbos Finance,DeFi
0x96350bcc1169d524b1ddfa8c35290e4fe3034587bb469fa3865d5d79958b6159,Typus Finance,DeFi
0x96356d1cfc7a4dec5bc0171f085ddaf1f650b1c6c412f209518d496c8ffed212,Cetus,DeFi
0x9642dca707ff941913a2fd2ede8363aaeccb9a01fc23eca027bcc6c8fbe6e349,Mole,DeFi
